Alnus rubra; Red Alder; Height: 20m, growing fast. Hardiness: 6-8. Light: semi-shade or full sun. Water preference: unknown moisture.; Oregon Alder; uncategorised; 6
Alnus rugosa; Speckled Alder; Height: 22m, growing fast. Hardiness: 2-6. Light: semi-shade or full sun. Water preference: unknown moisture.; ; uncategorised; 2
Alnus serrulata; Smooth Alder; Height: 4.5m. Hardiness: 3-9. Light: full sun. Water preference: unknown moisture.; Hazel alder; uncategorised; 3
Alnus sinuata; Sitka Alder; Height: 4m, growing fast. Hardiness: 2-9. Light: semi-shade or full sun. Water preference: unknown moisture.; ; uncategorised; 2
Alnus tenuifolia; Mountain Alder; Height: 9m, growing fast. Hardiness: 5-7. Light: semi-shade or full sun. Water preference: unknown moisture.; Thinleaf alder; uncategorised; 5
Alnus viridis crispa; American Green Alder; Height: 3m. Hardiness: 4-8. Light: semi-shade or full sun. Water preference: unknown moisture.; ; uncategorised; 4
Aloe arborescens; Candelabra Aloe; Height: 3m, growing at a medium rate. Hardiness: 10-11. Light: semi-shade or full sun. Water preference: dry - moist.; Tree Aloe, Mountain Bush Aloe; uncategorised; 10
Aloe camperi; Aloe; Height: 0.8m, growing at a medium rate. Hardiness: 9-12. Light: semi-shade or full sun. Water preference: unknown moisture.; ; uncategorised; 9
Aloe ferox; Cape Aloe; Height: 3m, growing slowly. Hardiness: 9-11. Light: full sun. Water preference: unknown moisture.; Bitter Aloe, Red Aloe, Cape Aloe, Alligator Jaw Aloe; uncategorised; 9
Aloysia citriodora; Lemon Verbena; Height: 3m, growing at a medium rate. Hardiness: 7-10. Light: semi-shade or full sun. Water preference: dry - moist.; Lemon beebrush; Food forest; 7
Amelanchier alnifolia; Saskatoon; Height: 4m, growing at a medium rate. Hardiness: 4-6. Light: semi-shade or full sun. Water preference: moist.; Saskatoon serviceberry, Serviceberry; Food forest; 4
Amelanchier alnifolia cusickii; Cusick's Serviceberry; Height: 3m. Hardiness: 0-0. Light: semi-shade or full sun. Water preference: moist.; ; Food forest; 0
Amelanchier alnifolia semiintegrifolia; Pacific Serviceberry; Height: 3m, growing slowly. Hardiness: 0-0. Light: semi-shade or full sun. Water preference: moist.; ; Food forest; 0
Amelanchier arborea; Downy Serviceberry; Height: 10m, growing slowly. Hardiness: 5-8. Light: semi-shade or full sun. Water preference: moist.; Alabama serviceberry, Juneberry, Common Serviceberry, Downy Serviceberry; Food forest; 5
Amelanchier asiatica; Korean Juneberry; Height: 8m. Hardiness: 4-8. Light: semi-shade or full sun. Water preference: moist.; ; Food forest; 4
Amelanchier bartramiana; Oblongfruit serviceberry; Height: 3m. Hardiness: 4-8. Light: semi-shade or full sun. Water preference: moist.; ; Food forest; 4
